KEY,X,Y,LNPRICE,YEAR97,YEAR98,YEAR99,YEAR00,YEAR01,LNSURAREA,LNNT,NBATH,INSIDE,MONUM,GAS_NOCV,OPENFIRE,GARAGE,DETACHED,SEMIDETA,CORNER,TERRACED,APPARTME,URBATTR,P_ALLOCH,HIGHDS_KM,RAILDS_KM,DRAIL_10,DHIGH_10,SUMOPENHA,SUMAGRHA,SUMURBHA,SUMNATHA,SUMWAHA,DIST_LOCAL,DISTREG_KM,ViewOpenSpace,PresLocOpen25,PresLocOpen50,PresLocOpen100,ISNIEUWBOU
53395,141807,476629,13.77,0,0,1,0,0,7.52,1.61,2,5,0,0,0,1,1,0,0,0,0,0,3,2.07,3.9,0,0,2.1365,0,0,2.1365,0,0,0,1,0,0,0,0
62580,146122,471169,13.81,0,0,1,0,0,7.6,2.3,2,4,0,0,1,0,0,1,0,0,0,0,2,.43,2.76,0,0,2.4282,2.3818,0,0,.0464,0,0,1,0,0,0,0
49304,141004,478295,13,0,1,0,0,0,6.84,1.39,2,4,0,0,0,1,1,0,0,0,0,0,2,1,2.16,0,0,2.7084,.9842,0,1.7242,0,0,0,1,0,0,0,0
51617,141995,476977,13.67,0,0,1,0,0,7.54,1.61,1,4,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,3.0043,.5471,0,2.4572,0,0,0,1,0,0,0,0
53394,141807,476629,14.51,0,0,0,1,0,8.43,2.3,2,5,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,2.1365,0,0,2.1365,0,0,0,1,0,0,0,0
50100,141863,477947,14.59,0,0,0,1,0,8.59,2.71,2,5,0,0,1,0,1,0,0,0,0,0,1,2.07,3.9,0,0,1.5506,1.3463,0,.0243,.18,0,0,1,0,0,0,0
53393,141807,476629,14.37,0,1,0,0,0,8.39,2.64,2,4,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,2.1365,0,0,2.1365,0,0,0,1,0,0,0,0
44751,142340,479819,14.07,0,0,0,1,0,8.12,1.61,2,5,0,0,1,0,1,0,0,0,0,0,2,2.81,4.17,0,0,3.1416,.3388,0,2.8028,0,0,0,1,0,0,0,0
51618,141995,476977,14.28,0,0,0,0,1,8.33,1.39,1,5,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,3.0043,.5471,0,2.4572,0,0,0,1,0,0,0,0
43355,136693,480596,13.04,0,0,0,1,0,7.16,2.08,3,4,0,0,1,0,1,0,0,0,0,0,2,1.29,2.55,0,1,2.8512,2.5494,0,0,.3018,0,.34,1,0,0,0,0
62581,146122,471169,13.46,1,0,0,0,0,7.6,1.79,1,5,0,0,0,0,0,1,0,0,0,0,2,.43,2.76,0,0,2.4282,2.3818,0,0,.0464,0,0,1,0,0,0,0
50101,141863,477897,13.38,0,0,0,1,0,7.53,1.39,2,4,0,0,0,1,1,0,0,0,0,0,1,2.07,3.9,0,0,1.4205,1.2446,0,.0338,.1421,0,0,1,0,0,0,0
53399,142185,476152,14.2,0,0,1,0,0,8.37,2.48,1,4,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,2.411,0,0,2.411,0,0,0,1,0,0,0,0
56419,145155,475047,13.99,0,0,0,0,1,8.24,1.95,3,4,0,0,0,1,1,0,0,0,0,0,2,1.26,5.49,0,0,2.1434,1.6424,0,.501,0,0,.77,1,0,0,0,0
59625,143804,472875,13.68,0,1,0,0,0,7.94,2.08,1,3,0,0,0,1,1,0,0,0,0,0,2,.66,3.43,0,0,2.3467,0,.4816,1.8651,0,0,.29,1,0,0,0,0
48953,141832,478470,14.66,0,0,0,1,0,8.97,2.2,2,4,0,0,0,1,1,0,0,0,0,0,1,2.07,3.9,0,0,2.7176,0,0,2.7176,0,0,0,1,0,0,0,0
50099,141863,477947,14.37,0,0,0,1,0,8.7,1.95,2,3,0,0,0,1,1,0,0,0,0,0,1,2.07,3.9,0,0,1.5506,1.3463,0,.0243,.18,0,0,1,0,0,0,0
47456,142006,478732,14.07,0,0,1,0,0,8.41,1.95,1,4,0,0,1,1,1,0,0,0,0,0,1,2.07,3.9,0,0,2.9659,2.1099,0,.7805,.0755,0,0,1,0,0,0,0
53400,142185,476152,14.02,0,0,1,0,0,8.36,1.95,2,4,0,0,1,1,1,0,0,0,0,0,3,2.07,3.9,0,0,2.411,0,0,2.411,0,0,0,1,0,0,0,0
54234,143149,475703,13.74,0,0,1,0,0,8.12,1.95,0,2,0,0,0,1,1,0,0,0,0,0,2,.62,3.49,0,0,1.6607,0,0,1.6607,0,0,0,1,0,0,0,0
